branch,type,model,origin_country,model_year,active,yoy,ordered
Russian Air Force,Helicopter,Ka-27,EXURSS,1982,6,-90,0
Russian Air Force,Combat,Su-25,EXURSS,1981,174,-10,0
Russian Air Force,Helicopter,Ka-52,RU,1995,134,-6,41
Russian Air Force,Training,Tu-134,EXURSS,1970,43,-6,0
Russian Air Force,Transport,An-12,UA,1959,59,-5,0
Russian Air Force,Combat,Su-24,EXURSS,1973,260,-4,0
Russian Air Force,Transport,An-72,EXURSS,1985,31,-4,0
Russian Air Force,Transport,An-140,UA,2002,4,-4,0
Russian Air Force,Combat,Su-27,EXURSS,1984,38,-3,0
Russian Air Force,Helicopter,Mi-8/17/171,EXURSS,1967,777,-3,10
Russian Air Force,Helicopter,Mi-24/35,EXURSS,1972,323,-2,0
Russian Air Force,Transport,Il-20/22,EXURSS,1957,27,-2,0
Russian Air Force,Training,L-39,CZ,1972,182,-2,0
Russian Air Force,Special,A-50,RU,1985,12,-2,0
Russian Air Force,Bomber,Tu-22M,EXURSS,1973,57,-1,0
Russian Air Force,Transport,Il-18,EXURSS,1957,3,-1,0
Russian Air Force,Combat,MiG-31,EXURSS,1983,128,0,0
Russian Air Force,Bomber,Tu-95,EXURSS,1956,47,0,0
Russian Air Force,Bomber,Tu-160,EXURSS,1987,15,0,50
Russian Air Force,Helicopter,Mi-2,EXURSS,1965,43,0,0
Russian Air Force,Helicopter,Ka-226,RU,2002,36,0,0
Russian Air Force,Helicopter,Mi-38,RU,2019,2,0,2
Russian Air Force,Helicopter,AS355,FR,1990,2,0,0
Russian Air Force,Helicopter,Ka-62,RU,None,0,0,100
Russian Air Force,Transport,An-26,EXURSS,1969,115,0,0
Russian Air Force,Transport,L-410,CZ,1970,53,0,2
Russian Air Force,Transport,An-30,UA,1968,16,0,0
Russian Air Force,Transport,An-148,UA,2009,15,0,0
Russian Air Force,Transport,An-124,EXURSS,1986,5,0,0
Russian Air Force,Transport,An-22,UA,1967,3,0,0
Russian Air Force,Transport,Tu-154,EXURSS,1972,3,0,0
Russian Air Force,Transport,Tu-214,RU,1996,2,0,0
Russian Air Force,Transport,Multirole Transport Aircraft,RU,2026,0,0,100
Russian Air Force,Transport,Il-112,RU,2023,0,0,62
Russian Air Force,Transport,Il-96,EXURSS,1992,0,0,10
Russian Air Force,Training,Ansat,RU,2013,50,0,0
Russian Air Force,Training,DA42,AT,2004,34,0,0
Russian Air Force,Special,Il-78,EXURSS,1984,19,0,31
Russian Air Force,Special,Il-80,EXURSS,1992,3,0,0
Russian Air Force,Special,A-60,RU,1985,0,0,0
Russian Air Force,Special,A-100,RU,1985,0,0,0
Russian Air Force,Helicopter,Mi-26,EXURSS,1983,45,1,15
Russian Air Force,Helicopter,Mi-28,EXURSS,2006,113,2,138
Russian Air Force,Transport,Il-76,EXURSS,1974,131,2,7
Russian Air Force,Combat,MiG-29/35,EXURSS,2009,256,3,2
Russian Air Force,Training,Yak-130,RU,2010,123,5,14
Russian Air Force,Combat,Su-34,RU,1997,141,7,0
Russian Air Force,Combat,Su-57,RU,2020,24,10,52
Russian Air Force,Combat,Su-27/30/35,EXURSS,1984,386,21,0
Russian Naval Aviation,Transport,An-72,EXURSS,1985,4,-1,0
Russian Naval Aviation,Combat,Su-24,EXURSS,1973,36,0,0
Russian Naval Aviation,Bomber,Tu-142,EXURSS,1956,32,0,0
Russian Naval Aviation,Helicopter,Ka-27,EXURSS,1982,90,0,0
Russian Naval Aviation,Helicopter,Mi-8,EXURSS,1967,12,0,0
Russian Naval Aviation,Helicopter,Ka-29,EXURSS,1982,10,0,0
Russian Naval Aviation,Helicopter,Ka-31,EXURSS,1982,3,0,0
Russian Naval Aviation,Helicopter,Ka-52,RU,1995,3,0,0
Russian Naval Aviation,Helicopter,Ka-28,EXURSS,1982,2,0,0
Russian Naval Aviation,Helicopter,Mi-24/35,EXURSS,1972,2,0,0
Russian Naval Aviation,Transport,An-24/26,UA,1962,24,0,0
Russian Naval Aviation,Transport,An-12,UA,1959,5,0,0
Russian Naval Aviation,Transport,An-140,UA,2002,4,0,0
Russian Naval Aviation,Transport,Be-200,RU,2003,2,0,0
Russian Naval Aviation,Transport,Il-22,EXURSS,1957,2,0,0
Russian Naval Aviation,Transport,Il-18,EXURSS,1957,1,0,0
Russian Naval Aviation,Transport,Il-20,EXURSS,1957,1,0,0
Russian Naval Aviation,Transport,Tu-154,EXURSS,1972,1,0,0
Russian Naval Aviation,Transport,An-26,EXURSS,1969,0,0,0
Russian Naval Aviation,Training,Tu-134,EXURSS,1970,6,0,0
Russian Naval Aviation,Special,Il-38,EXURSS,1967,21,0,0
Russian Naval Aviation,Special,Be-12,EXURSS,1960,7,0,0
Russian Naval Aviation,Combat,MiG-29,EXURSS,2009,21,3,0
Russian Naval Aviation,Combat,Su-27,EXURSS,1984,3,3,0
Russian Naval Aviation,Training,L-39,CZ,1972,4,4,0
Russian Naval Aviation,Combat,Su-25,EXURSS,1981,8,8,0
Russian Naval Aviation,Combat,Su-27/30,EXURSS,1984,42,10,15
