branch,type,model,origin_country,model_year,active,yoy,ordered
Ukraine Army Aviation,Helicopter,Mi-8,URSS,1967,58,0,0
Ukraine Army Aviation,Helicopter,Mi-24,URSS,1972,38,-1,0
Ukraine Army Aviation,Helicopter,Mi-2,URSS,1965,12,0,0
Ukrainian Air Force,Combat,MiG-29,URSS,2009,45,-9,0
Ukrainian Air Force,Combat,Su-27,URSS,1984,23,-6,0
Ukrainian Air Force,Combat,F-16AM,USA,1979,23,9,0
Ukrainian Air Force,Combat,Su-25,URSS,1981,19,-2,0
Ukrainian Air Force,Combat,Su-24,URSS,1973,13,0,0
Ukrainian Air Force,Combat,F-16,USA,1979,20,15,0
Ukrainian Air Force,Combat,Mirage 2000-5F,France,1983,6,6,0
Ukrainian Air Force,Helicopter,Mi-8,URSS,1967,14,-1,0
Ukrainian Air Force,Transport,An-24/26,URSS,1962,22,0,0
Ukrainian Air Force,Transport,An-30,URSS,1968,3,0,0
Ukrainian Air Force,Training,L-39,Tchécoslovaquie,1972,42,0,0
Ukrainian Air Force,Special,Saab 340,Suède,1997,0,0,2
Ukrainian Navy,Helicopter,Ka-27,URSS,1982,4,0,0
Ukrainian Navy,Helicopter,Mi-14,URSS,1975,4,0,0
Ukrainian Navy,Helicopter,Sea King,USA,1961,3,0,0
Ukrainian Navy,Helicopter,Ka-226,Russie,2002,1,0,0
Ukrainian Navy,Transport,An-26,URSS,1969,2,0,0
Ukrainian Army Aviation,Helicopter,Mi-24/35,URSS,1972,0,0,0
